token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
17438,OIL,OIL,,-1.000000,1,,NSE,5.000000
17527,MAHASTEEL,MAHASTEEL,,-1.000000,1,,NSE,5.000000
17547,AMRUTANJAN,AMRUTANJAN,,-1.000000,1,,NSE,5.000000
17685,GPTINFRA,GPTINFRA,,-1.000000,1,,NSE,1.000000
17691,VIJIFIN,VIJIFIN,,-1.000000,1,,NSE,1.000000
17700,LTGILTBEES,LTGILTBEES,,-1.000000,1,,NSE,1.000000
17778,ATL,ATL,,-1.000000,1,,NSE,1.000000
17794,SOMICONVEY,SOMICONVEY,,-1.000000,1,,NSE,1.000000
17795,TREL,TREL,,-1.000000,1,,NSE,1.000000
17801,LLOYDSENGG,LLOYDSENGG,,-1.000000,1,,NSE,1.000000
17833,AHLUCONT,AHLUCONT,,-1.000000,1,,NSE,5.000000
17875,GODREJPROP,GODREJPROP,,-1.000000,1,,NSE,10.000000
1808,KAJARIACER,KAJARIACER,,-1.000000,1,,NSE,5.000000
1805,KABRAEXTRU,KABRAEXTRU,,-1.000000,1,,NSE,5.000000
18124,DBREALTY,DBREALTY,,-1.000000,1,,NSE,1.000000
1814,KPIL,KPIL,,-1.000000,1,,NSE,10.000000
1826,KAMATHOTEL,KAMATHOTEL,,-1.000000,1,,NSE,1.000000
18279,HDFCLIQUID,HDFCLIQUID,,-1.000000,1,,NSE,1.000000
18347,MIDCAPBETA,MIDCAPBETA,,-1.000000,1,,NSE,1.000000
18353,NIM150INAV,NIM150INAV,,-1.000000,1,,NSE,1.000000
18365,PERSISTENT,PERSISTENT,,-1.000000,1,,NSE,10.000000
18423,RATNAVEER,RATNAVEER,,-1.000000,1,,NSE,1.000000
18553,JLHL,JLHL,,-1.000000,1,,NSE,10.000000
18571,GNA,GNA,,-1.000000,1,,NSE,5.000000
18721,NUVAMA,NUVAMA,,-1.000000,1,,NSE,10.000000
18931,SUNDARAM,SUNDARAM,,-1.000000,1,,NSE,1.000000
18944,KINGFA,KINGFA,,-1.000000,1,,NSE,10.000000
19036,PODDARMENT,PODDARMENT,,-1.000000,1,,NSE,1.000000
19126,KIOCL,KIOCL,,-1.000000,1,,NSE,5.000000
19289,MOM50,MOM50,,-1.000000,1,,NSE,1.000000
19731,GPPL,GPPL,,-1.000000,1,,NSE,1.000000
19867,AMNPLST,AMNPLST,,-1.000000,1,,NSE,1.000000
19943,DEEPAKNTR,DEEPAKNTR,,-1.000000,1,,NSE,10.000000
2004,AHLADA,AHLADA,,-1.000000,1,,NSE,1.000000
2018,LUMAXIND,LUMAXIND,,-1.000000,1,,NSE,50.000000
20182,ASHOKA,ASHOKA,,-1.000000,1,,NSE,1.000000
2029,IRFC,IRFC,,-1.000000,1,,NSE,1.000000
2031,M&M,M&M,,-1.000000,1,,NSE,10.000000
20314,NRAIL,NRAIL,,-1.000000,1,,NSE,5.000000
20321,SHANKARA,SHANKARA,,-1.000000,1,,NSE,1.000000
20413,IOLCP,IOLCP,,-1.000000,1,,NSE,1.000000
20698,SCHAND,SCHAND,,-1.000000,1,,NSE,1.000000
20905,AZAD,AZAD,,-1.000000,1,,NSE,10.000000
2106,MANGLMCEM,MANGLMCEM,,-1.000000,1,,NSE,5.000000
2124,MASTEK,MASTEK,,-1.000000,1,,NSE,10.000000
21334,JYOTICNC,JYOTICNC,,-1.000000,1,,NSE,5.000000
21401,TATAGOLD,TATAGOLD,,-1.000000,1,,NSE,1.000000
21423,MOM100,MOM100,,-1.000000,1,,NSE,1.000000
2144,BDL,BDL,,-1.000000,1,,NSE,10.000000
21690,DIXON,DIXON,,-1.000000,1,,NSE,100.000000
21740,CHOLAHLDNG,CHOLAHLDNG,,-1.000000,1,,NSE,10.000000
21840,DIAMONDYD,DIAMONDYD,,-1.000000,1,,NSE,10.000000
21959,NIFTYBETF,NIFTYBETF,,-1.000000,1,,NSE,1.000000
10017,EBBE31INAV,EBBE31INAV,,-1.000000,1,,NSE,1.000000
10005,DSPQ50INAV,DSPQ50INAV,,-1.000000,1,,NSE,1.000000
10016,EBBE30INAV,EBBE30INAV,,-1.000000,1,,NSE,1.000000
10243,SYNGENE,SYNGENE,,-1.000000,1,,NSE,5.000000
104,SHAREINDIA,SHAREINDIA,,-1.000000,1,,NSE,1.000000
1038,FINCABLES,FINCABLES,,-1.000000,1,,NSE,5.000000
10343,RADHIKAJWE,RADHIKAJWE,,-1.000000,1,,NSE,1.000000
1044,AXISBNKETF,AXISBNKETF,,-1.000000,1,,NSE,1.000000
10583,HDF100INAV,HDF100INAV,,-1.000000,1,,NSE,1.000000
10690,NIFTYQLITY,NIFTYQLITY,,-1.000000,1,,NSE,1.000000
10794,CANBK,CANBK,,-1.000000,1,,NSE,1.000000
1127,GHCL,GHCL,,-1.000000,1,,NSE,5.000000
11236,JSL,JSL,,-1.000000,1,,NSE,5.000000
11241,HDFCGROWTH,HDFCGROWTH,,-1.000000,1,,NSE,1.000000
11297,SIL,SIL,,-1.000000,1,,NSE,1.000000
11423,DATAMATICS,DATAMATICS,,-1.000000,1,,NSE,5.000000
11538,HDFCMOMENT,HDFCMOMENT,,-1.000000,1,,NSE,1.000000
11547,HDFCLOWVOL,HDFCLOWVOL,,-1.000000,1,,NSE,1.000000
11655,JBMA,JBMA,,-1.000000,1,,NSE,5.000000
11667,DWARKESH,DWARKESH,,-1.000000,1,,NSE,1.000000
11782,EVEREADY,EVEREADY,,-1.000000,1,,NSE,5.000000
11821,WELCORP,WELCORP,,-1.000000,1,,NSE,5.000000
11829,SSWL,SSWL,,-1.000000,1,,NSE,1.000000
11868,63MOONS,63MOONS,,-1.000000,1,,NSE,5.000000
11919,MSPL,MSPL,,-1.000000,1,,NSE,1.000000
11932,FUSION,FUSION,,-1.000000,1,,NSE,1.000000
12009,IMPAL,IMPAL,,-1.000000,1,,NSE,10.000000
12108,HDFCPVTBAN,HDFCPVTBAN,,-1.000000,1,,NSE,1.000000
12173,HNDFDS,HNDFDS,,-1.000000,1,,NSE,5.000000
1250,CASTROLIND,CASTROLIND,,-1.000000,1,,NSE,1.000000
1270,AMBUJACEM,AMBUJACEM,,-1.000000,1,,NSE,5.000000
12716,TEAMLEASE,TEAMLEASE,,-1.000000,1,,NSE,10.000000
12842,G1NSETEST,G1NSETEST,,-1.000000,1,,NSE,5.000000
13111,ORIENTCER,ORIENTCER,,-1.000000,1,,NSE,1.000000
13126,REPRO,REPRO,,-1.000000,1,,NSE,5.000000
13182,ROHLTD,ROHLTD,,-1.000000,1,,NSE,5.000000
13211,JAGRAN,JAGRAN,,-1.000000,1,,NSE,1.000000
1338,SDBL,SDBL,,-1.000000,1,,NSE,1.000000
13381,KKCL,KKCL,,-1.000000,1,,NSE,5.000000
13430,KELLTONTEC,KELLTONTEC,,-1.000000,1,,NSE,1.000000
1348,HEROMOTOCO,HEROMOTOCO,,-1.000000,1,,NSE,50.000000
13522,NECCLTD,NECCLTD,,-1.000000,1,,NSE,1.000000
13538,TECHM,TECHM,,-1.000000,1,,NSE,10.000000
13587,ACE,ACE,,-1.000000,1,,NSE,5.000000
13611,IRCTC,IRCTC,,-1.000000,1,,NSE,5.000000
13620,ANANTRAJ,ANANTRAJ,,-1.000000,1,,NSE,5.000000
